filename,size paramter of equivalent volume sphere,wavelength (m),extinction efficiency,scattering efficiency,average geometrical cross section (m^2),volume (m^3),maximum distance from the center of mass (m),single scattering albedo,asymmetry factor
MTC_vo_11000_000104_fd,5.94480E-01,1.10000E-05,2.75663E-01,5.80080E-03,4.74869E-12,4.70266E-18,1.92577E-06,2.10431E-02,8.54330E-02
MTC_vo_11000_000203_fd,1.15759E+00,1.10000E-05,5.16498E-01,4.47670E-02,1.80137E-11,3.47287E-17,3.67648E-06,8.66742E-02,3.29002E-01
MTC_vo_11000_018632_g2,1.06428E+02,1.10000E-05,1.97621E+00,9.90315E-01,2.28120E-07,2.70950E-11,5.93300E-04,5.01118E-01,9.70287E-01
MTC_vo_11000_020201_g2,1.15389E+02,1.10000E-05,1.97506E+00,9.90609E-01,3.02250E-07,3.45310E-11,7.23800E-04,5.01558E-01,9.70562E-01
MTC_vo_11000_016611_g2,9.48845E+01,1.10000E-05,1.97391E+00,9.89524E-01,1.74670E-07,1.92000E-11,4.69800E-04,5.01302E-01,9.69696E-01
MTC_vo_11000_003883_g2,2.21814E+01,1.10000E-05,1.90399E+00,9.08866E-01,6.51030E-09,2.45290E-13,7.03000E-05,4.77349E-01,9.56181E-01
MTC_vo_11000_000055_fd,3.12897E-01,1.10000E-05,1.45173E-01,5.39287E-04,1.30827E-12,6.85570E-19,1.05042E-06,3.71478E-03,2.27740E-02
MTC_vo_11000_027910_g2,1.59421E+02,1.10000E-05,1.98204E+00,1.00033E+00,5.76940E-07,9.10650E-11,1.00000E-03,5.04700E-01,9.72561E-01
MTC_vo_11000_051633_g1,2.94928E+02,1.10000E-05,1.99565E+00,1.01819E+00,1.97260E-06,5.76590E-10,1.85000E-03,5.10202E-01,9.78858E-01
MTC_vo_11000_012061_g2,6.88908E+01,1.10000E-05,1.96517E+00,9.79437E-01,7.86580E-08,7.34850E-12,2.81100E-04,4.98399E-01,9.68015E-01
MTC_vo_11000_009333_g2,5.33085E+01,1.10000E-05,1.96326E+00,9.77416E-01,4.04650E-08,3.40490E-12,1.87300E-04,4.97854E-01,9.65821E-01
